player_name;position;squad;age;born_year;match_played;minutes_played;minutes_per_match;first_eleven;90_mins_complated;points_per_match;yellow_card;red_card;second_yellow_card;fouls_committed;fouls_drawn;offsides;crosses;interceptions;tackles_won;own_goals;goals;assists;shots;shots_on_target;penalty_goals;penalty_attempts
Harrison Manzala;MF;Kayserispor;26;1994;4;122;31.0;1;0;0.5;0;0;0;2;2;0;3;2;0;0;0;0;0;0;0;0
Marcão;DF;Galatasaray;24;1996;37;3313;90.0;37;35;2.19;10;1;0;44;70;2;6;62;37;0;0;0;12;3;0;0
Marlon;DF;Trabzonspor;23;1997;36;3224;90.0;36;34;1.83;3;0;0;29;32;1;74;79;43;0;0;1;13;4;0;0
Alexandru Maxim;MF;Gaziantep FK;30;1990;38;3018;79.0;38;11;1.42;8;0;0;52;61;8;163;23;35;0;15;3;58;31;8;8
Dario Melnjak;DF;Rizespor;27;1992;29;2127;73.0;24;18;1.07;5;0;0;16;17;0;69;48;20;0;0;3;12;0;0;0
Bernard Mensah;MF;Beşiktaş;25;1994;31;1459;47.0;13;2;2.1;4;0;0;26;42;4;37;4;12;0;4;1;42;11;1;2
Yassine Meriah;DF;Rizespor;27;1993;28;2351;84.0;26;25;1.11;8;1;1;22;13;2;7;49;24;1;1;0;11;5;0;0
Metehan Mert;DF;Gençlerbirliği;21;1999;5;374;75.0;4;3;1.4;0;0;0;1;3;1;0;4;6;0;0;1;3;1;0;0
Muhammed Mert;MF;Hatayspor;25;1995;18;412;23.0;2;0;1.56;1;0;0;8;3;0;16;8;5;0;0;1;4;0;0;0
Muris Mešanović;MF.FW;Denizlispor;30;1990;36;1884;52.0;19;5;0.78;5;0;0;52;20;10;15;5;8;0;6;2;42;21;0;0
Konrad Michalak;MF;Rizespor;22;1997;31;1371;44.0;12;3;1.35;0;0;0;12;42;2;42;15;18;0;2;2;19;7;0;0
Marko Mihojević;DF;Göztepe;24;1996;21;1559;74.0;18;13;1.29;3;0;0;20;17;0;3;22;14;0;2;0;8;2;0;0
Deni Milošević;MF;Konyaspor;25;1995;30;1788;60.0;23;3;1.33;2;0;0;26;14;2;31;10;14;0;2;2;29;13;0;0
Arturo Mina;DF;Erzurum BB;29;1990;9;712;79.0;9;7;0.67;4;0;0;10;10;1;0;11;5;0;0;0;9;2;0;0
Kevin Mirallas;MF.FW;Gaziantep FK;32;1987;28;2029;72.0;26;6;1.46;9;2;1;37;33;2;63;11;11;0;5;5;41;13;0;0
Roderick Miranda;DF;Gaziantep FK;29;1991;13;1057;81.0;12;10;1.31;4;0;0;11;4;1;1;15;9;0;0;0;6;2;0;0
Farouk Miya;MF.FW;Konyaspor;22;1997;16;727;45.0;9;2;1.38;2;0;0;13;11;8;6;7;6;0;0;0;12;5;0;0
Mostafa Mohamed;FW;Galatasaray;22;1997;16;906;57.0;10;3;2.31;2;1;0;15;14;4;2;2;8;0;8;0;37;15;3;3
Francisco Montero;DF;Beşiktaş;21;1999;13;922;71.0;9;9;2.08;2;0;0;10;6;1;0;12;7;1;0;0;2;0;0;0
Júnior Morais;DF.MF;Gaziantep FK;34;1986;22;1423;65.0;16;11;1.23;7;1;1;27;21;0;50;43;23;1;0;0;5;2;0;0
Mykola Morozyuk;DF;Rizespor;32;1988;33;27;82.0;30;27;1.3;7;0;0;40;29;2;146;58;37;0;0;2;14;4;0;0
Mossoró;MF;Göztepe;37;1983;14;539;39.0;7;0;1.14;2;0;0;19;9;0;8;6;8;0;1;1;3;1;0;0
François Moubandje;DF;Alanyaspor;30;1990;35;3052;87.0;35;31;1.54;4;0;0;45;23;1;49;52;17;0;3;1;26;10;0;0
Lucas Mugni;MF;Gençlerbirliği;28;1992;10;278;28.0;2;0;1.1;0;0;0;5;0;2;20;4;5;0;0;0;6;3;0;0
